Date,RPM (USD),Views,Estimated revenue (USD)
Total,3.274,3326797,9124.004
2026-08-28,4.088,123615,215.175
2026-08-29,4.007,358271,735.586
2026-08-27,3.915,109881,173.761
2026-08-25,3.804,32448,123.587
2026-08-24,3.631,55152,200.198
2026-08-26,3.558,62728,223.154
2026-08-10,3.452,42515,146.733
2026-08-21,3.424,169326,579.654
2026-08-22,3.404,122961,418.492
2026-08-11,3.398,28394,96.431
2026-08-13,3.374,105641,356.457
2026-08-18,3.335,31550,105.206
2026-08-23,3.331,133831,445.649
2026-08-15,3.299,108019,356.274
2026-08-17,3.295,53288,175.525
2026-08-20,3.279,85086,278.995
2026-08-09,3.234,100318,319.167
2026-08-08,3.164,176737,559.075
2026-08-16,3.077,132000,406.106
2026-08-14,3.072,155332,477.21
2026-08-19,3.05,89319,272.422
2026-08-12,2.941,86919,255.622
2026-08-06,2.856,176749,504.758
2026-08-05,2.801,123175,345.006
2026-08-07,2.715,133071,361.21
2026-08-31,,99094,161.664
2026-08-30,,238019,435.403
2026-09-01,,193358,395.485
